Annie,Heimerdinger,0.7048
Annie,Poppy,0.6959
Annie,Kennen,0.6769
Annie,Mordekaiser,0.6660
Annie,Ashe,0.6649
Olaf,Heimerdinger,0.7183
Olaf,Poppy,0.6961
Olaf,Janna,0.6549
Olaf,Kennen,0.6544
Olaf,Ashe,0.6497
Galio,Heimerdinger,0.7093
Galio,Poppy,0.7032
Galio,Kennen,0.6643
Galio,Janna,0.6520
Galio,Ashe,0.6425
Twisted Fate,Heimerdinger,0.7153
Twisted Fate,Poppy,0.7092
Twisted Fate,Kennen,0.6715
Twisted Fate,Ashe,0.6608
Twisted Fate,Amumu,0.6553
Xin Zhao,Heimerdinger,0.7225
Xin Zhao,Poppy,0.7003
Xin Zhao,Kennen,0.6765
Xin Zhao,Amumu,0.6570
Xin Zhao,Janna,0.6541
Urgot,Heimerdinger,0.7028
Urgot,Poppy,0.7020
Urgot,Kennen,0.6596
Urgot,Janna,0.6503
Urgot,Ashe,0.6471
LeBlanc,Heimerdinger,0.7090
LeBlanc,Poppy,0.7003
LeBlanc,Ashe,0.6622
LeBlanc,Kennen,0.6587
LeBlanc,Janna,0.6548
Vladimir,Heimerdinger,0.7207
Vladimir,Poppy,0.7049
Vladimir,Kennen,0.6640
Vladimir,Yorick,0.6590
Vladimir,Janna,0.6548
Fiddlesticks,Heimerdinger,0.7070
Fiddlesticks,Poppy,0.6967
Fiddlesticks,Kennen,0.6627
Fiddlesticks,Ashe,0.6559
Fiddlesticks,Janna,0.6531
Kayle,Poppy,0.7033
Kayle,Heimerdinger,0.7012
Kayle,Kennen,0.6732
Kayle,Ashe,0.6570
Kayle,Yorick,0.6548
Master Yi,Heimerdinger,0.7062
Master Yi,Poppy,0.6993
Master Yi,Janna,0.6645
Master Yi,Mordekaiser,0.6641
Master Yi,Kennen,0.6583
Alistar,Poppy,0.7195
Alistar,Heimerdinger,0.7025
Alistar,Ashe,0.6666
Alistar,Kennen,0.6659
Alistar,Janna,0.6613
Ryze,Heimerdinger,0.7189
Ryze,Poppy,0.7028
Ryze,Kennen,0.6554
Ryze,Janna,0.6544
Ryze,Ashe,0.6439
Sion,Heimerdinger,0.7211
Sion,Poppy,0.6885
Sion,Janna,0.6655
Sion,Kennen,0.6601
Sion,Mordekaiser,0.6527
Sivir,Heimerdinger,0.7035
Sivir,Poppy,0.7002
Sivir,Kennen,0.6724
Sivir,Janna,0.6680
Sivir,Mordekaiser,0.6660
Soraka,Heimerdinger,0.7064
Soraka,Poppy,0.6970
Soraka,Kennen,0.6634
Soraka,Yorick,0.6610
Soraka,Mordekaiser,0.6598
Teemo,Heimerdinger,0.7007
Teemo,Poppy,0.6891
Teemo,Kennen,0.6645
Teemo,Janna,0.6561
Teemo,Amumu,0.6525
Tristana,Heimerdinger,0.7206
Tristana,Poppy,0.7014
Tristana,Kennen,0.6706
Tristana,Ashe,0.6549
Tristana,Janna,0.6528
Warwick,Poppy,0.7185
Warwick,Heimerdinger,0.7071
Warwick,Kennen,0.6768
Warwick,Yorick,0.6640
Warwick,Janna,0.6552
Nunu,Heimerdinger,0.7046
Nunu,Poppy,0.7018
Nunu,Janna,0.6617
Nunu,Kennen,0.6601
Nunu,Ashe,0.6568
Miss Fortune,Heimerdinger,0.7103
Miss Fortune,Poppy,0.6969
Miss Fortune,Janna,0.6686
Miss Fortune,Kennen,0.6666
Miss Fortune,Amumu,0.6566
Ashe,Poppy,0.7047
Ashe,Heimerdinger,0.7022
Ashe,Janna,0.6567
Ashe,Ashe,0.6563
Ashe,Amumu,0.6515
Tryndamere,Heimerdinger,0.7196
Tryndamere,Poppy,0.6988
Tryndamere,Kennen,0.6756
Tryndamere,Janna,0.6682
Tryndamere,Yorick,0.6627
Jax,Heimerdinger,0.7031
Jax,Poppy,0.6947
Jax,Ashe,0.6640
Jax,Kennen,0.6617
Jax,Janna,0.6539
Morgana,Heimerdinger,0.7049
Morgana,Poppy,0.7011
Morgana,Mordekaiser,0.6689
Morgana,Ashe,0.6683
Morgana,Janna,0.6589
Zilean,Heimerdinger,0.7085
Zilean,Poppy,0.6979
Zilean,Kennen,0.6653
Zilean,Janna,0.6557
Zilean,Ashe,0.6521
Singed,Heimerdinger,0.7025
Singed,Poppy,0.6985
Singed,Kennen,0.6726
Singed,Janna,0.6596
Singed,Ashe,0.6568
Evelynn,Poppy,0.7072
Evelynn,Heimerdinger,0.7043
Evelynn,Kennen,0.6627
Evelynn,Janna,0.6480
Evelynn,Ashe,0.6474
Twitch,Poppy,0.7086
Twitch,Heimerdinger,0.7073
Twitch,Janna,0.6635
Twitch,Kennen,0.6585
Twitch,Ashe,0.6530
Karthus,Heimerdinger,0.7205
Karthus,Poppy,0.7058
Karthus,Janna,0.6628
Karthus,Kennen,0.6556
Karthus,Amumu,0.6481
Cho'Gath,Heimerdinger,0.7220
Cho'Gath,Poppy,0.6995
Cho'Gath,Janna,0.6712
Cho'Gath,Kennen,0.6659
Cho'Gath,Ashe,0.6537
Amumu,Heimerdinger,0.7111
Amumu,Poppy,0.6883
Amumu,Kennen,0.6570
Amumu,Ashe,0.6564
Amumu,Janna,0.6562
Rammus,Heimerdinger,0.7036
Rammus,Poppy,0.6937
Rammus,Kennen,0.6614
Rammus,Janna,0.6547
Rammus,Ashe,0.6541
Anivia,Poppy,0.7050
Anivia,Heimerdinger,0.7041
Anivia,Kennen,0.6618
Anivia,Ashe,0.6559
Anivia,Janna,0.6531
Shaco,Heimerdinger,0.7089
Shaco,Poppy,0.6995
Shaco,Kennen,0.6633
Shaco,Janna,0.6595
Shaco,Amumu,0.6524
Dr. Mundo,Heimerdinger,0.7193
Dr. Mundo,Poppy,0.7009
Dr. Mundo,Kennen,0.6604
Dr. Mundo,Janna,0.6542
Dr. Mundo,Ashe,0.6464
Sona,Heimerdinger,0.7040
Sona,Poppy,0.6893
Sona,Ashe,0.6680
Sona,Kennen,0.6643
Sona,Janna,0.6608
Kassadin,Poppy,0.7058
Kassadin,Heimerdinger,0.7026
Kassadin,Kennen,0.6565
Kassadin,Janna,0.6511
Kassadin,Amumu,0.6483
Irelia,Heimerdinger,0.7068
Irelia,Poppy,0.6968
Irelia,Kennen,0.6565
Irelia,Ashe,0.6503
Irelia,Janna,0.6483
Janna,Heimerdinger,0.7043
Janna,Poppy,0.7008
Janna,Kennen,0.6645
Janna,Janna,0.6584
Janna,Ashe,0.6557
Gangplank,Heimerdinger,0.7002
Gangplank,Poppy,0.6929
Gangplank,Kennen,0.6641
Gangplank,Mordekaiser,0.6597
Gangplank,Janna,0.6500
Corki,Heimerdinger,0.7035
Corki,Poppy,0.7029
Corki,Mordekaiser,0.6582
Corki,Janna,0.6578
Corki,Ashe,0.6573
Karma,Poppy,0.7072
Karma,Heimerdinger,0.7057
Karma,Kennen,0.6608
Karma,Janna,0.6564
Karma,Ashe,0.6555
Taric,Heimerdinger,0.7079
Taric,Poppy,0.7010
Taric,Kennen,0.6650
Taric,Janna,0.6527
Taric,Ashe,0.6514
Veigar,Heimerdinger,0.7096
Veigar,Poppy,0.7070
Veigar,Kennen,0.6696
Veigar,Ashe,0.6559
Veigar,Janna,0.6477
Trundle,Heimerdinger,0.7033
Trundle,Poppy,0.6986
Trundle,Ashe,0.6575
Trundle,Janna,0.6553
Trundle,Kennen,0.6546
Swain,Heimerdinger,0.7112
Swain,Poppy,0.6993
Swain,Kennen,0.6672
Swain,Janna,0.6653
Swain,Ashe,0.6508
Caitlyn,Poppy,0.7233
Caitlyn,Heimerdinger,0.7041
Caitlyn,Yorick,0.6666
Caitlyn,Ashe,0.6594
Caitlyn,Janna,0.6588
Blitzcrank,Poppy,0.7224
Blitzcrank,Heimerdinger,0.7039
Blitzcrank,Kennen,0.6628
Blitzcrank,Janna,0.6611
Blitzcrank,Ashe,0.6550
Malphite,Heimerdinger,0.7038
Malphite,Poppy,0.6962
Malphite,Janna,0.6706
Malphite,Ashe,0.6667
Malphite,Yorick,0.6641
Katarina,Heimerdinger,0.7091
Katarina,Poppy,0.7010
Katarina,Yorick,0.6666
Katarina,Ashe,0.6628
Katarina,Mordekaiser,0.6590
Nocturne,Heimerdinger,0.7132
Nocturne,Poppy,0.7015
Nocturne,Kennen,0.6604
Nocturne,Janna,0.6572
Nocturne,Ashe,0.6498
Maokai,Heimerdinger,0.7119
Maokai,Poppy,0.6894
Maokai,Janna,0.6643
Maokai,Kennen,0.6596
Maokai,Ashe,0.6531
Renekton,Poppy,0.7084
Renekton,Heimerdinger,0.7081
Renekton,Janna,0.6656
Renekton,Kennen,0.6602
Renekton,Ashe,0.6578
Jarvan IV,Heimerdinger,0.7049
Jarvan IV,Poppy,0.7012
Jarvan IV,Kennen,0.6760
Jarvan IV,Ashe,0.6669
Jarvan IV,Mordekaiser,0.6668
Elise,Heimerdinger,0.7057
Elise,Poppy,0.6986
